ID,County,Map_Unit_Symbol,Map_Unit_Name,Soil_Name,Acres_in_AOI,Percent_of_AOI,Soil_ID
1,Alachua,14,Pomona sand,Pomona sand,57,415.90,9.30%,FL00101062
2,Alachua,3,Arredondo fine sand, 0 to 5 percent slopes,Arredondo fine sand,54,523.10,8.80%,FL00101084
3,Alachua,8,Millhopper sand, 0 to 5 percent slopes,Millhopper sand,52,194.60,8.40%,FL00101063
4,Alachua,2,Candler fine sand, 0 to 5 percent slopes,Candler fine sand,25,046.10,4.00%,FL00101103
5,Alachua,50,Sparr fine sand,Sparr fine sand,21,440.50,3.50%,FL00101058
6,Alachua,21,Newnan sand,Newnan sand,20,631.40,3.30%,FL00101078
7,Alachua,17,Wauchula sand,Wauchula sand,18,053.60,2.90%,FL00101080
8,Alachua,30,Kendrick sand, 2 to 5 percent slopes,Kendrick sand,16,053.10,2.60%,FL00101065
9,Alachua,49,Lochloosa fine sand, 0 to 2 percent slopes,Lochloosa fine sand,15,633.50,2.50%,FL00101100
10,Alachua,28,Chipley sand,Chipley sand,14,886.60,2.40%,FL00101068
11,Alachua,39,Bonneau fine sand, 2 to 5 percent slopes,Bonneau fine sand,14,984.90,2.40%,FL00101067
12,Alachua,46,Jonesville complex, 0 to 5 percent slopes,Jonesville complex,,,FL00101075
13,Alachua,,Cadillac complex, 0 to 5 percent slopes,Cadillac complex,,,FL00101076
14,Alachua,13,Pelham sand,Pelham sand,9,208.00,1.50%,FL00101071
15,Alachua,53,Shenks muck,Shenks muck,6,309.40,1.00%,FL00101085
16,Alachua,33,Norfolk loamy fine sand, 2 to 5 percent slopes,Norfolk loamy fine sand,5,305.50,0.90%,FL00101064
17,Alachua,51,Plummer fine sand,Plummer fine sand,5,733.90,0.90%,FL00101101
18,Alachua,52,Ledwith muck,Ledwith muck,5,482.20,0.90%,FL00101086
19,Alachua,5,Fort Meade fine sand, 0 to 5 percent slopes,Fort Meade fine sand,4,673.90,0.80%,FL00101074
20,Alachua,7,Kanapaha sand, 0 to 5 percent slopes,Kanapaha sand,5,260.70,0.80%,FL00101099
21,Alachua,56,Wauberg sand,Wauberg sand,5,071.80,0.80%,FL00101088
22,Alachua,48,Myakka sand,Myakka sand,4,328.80,0.70%,FL00101091
23,Alachua,55,Lake sand, 0 to 5 percent slopes,Lake sand,4,066.50,0.70%,FL00101089
24,Alachua,23,Mulat sand,Mulat sand,3,812.20,0.60%,FL00101083
25,Alachua,59,Pottsburg sand,Pottsburg sand,2,928.80,0.50%,FL00101090
26,Alachua,31,Blichton sand, 0 to 2 percent slopes,Blichton sand,2,427.10,0.40%,FL00101098
27,Alachua,32,Bivans sand, 2 to 5 percent slopes,Bivans sand,2,234.30,0.40%,FL00101097
28,Alachua,47,Candler- 0 to 5 percent slopes,Candler,1,762.70,0.30%,FL00101102
29,Baker,47,Sapelo fine sand,Sapelo fine sand,27,571.90,7.30%,FL00302017
30,Baker,23,Leon sand,Leon sand,23,205.80,6.20%,FL00302001
31,Baker,33,Olustee complex,Olustee complex,14,667.50,3.90%,FL00302003
32,Baker,32,Ocilla fine sand, 0 to 3 percent slopes,Ocilla fine sand,12,742.20,3.40%,FL00302006
33,Baker,43,Pottsburg sand,Pottsburg sand,6,625.80,1.80%,FL00302020
34,Baker,22,Leefield fine sand, 0 to 5 percent slopes,Leefield fine sand,6,489.80,1.70%,FL00302005
35,Baker,11,Boulogne sand,Boulogne sand,3,722.70,1.00%,FL00302021
36,Bay,30,Pottsburg sand,Pottsburg sand,49,249.70,8.70%,FL00503010
37,Bay,13,Leon sand,Leon sand,39,938.20,7.10%,FL00503003
38,Bay,25,Hurricane sand,Hurricane sand,37,197.50,6.60%,FL00503001
39,Bay,9,Lakeland sand, 0 to 5 percent slopes,Lakeland sand,34,092.50,6.00%,FL00503019
40,Bay,1,Albany sand, 0 to 2 percent slopes,Albany sand,28,801.00,5.10%,FL00503013
